,CompanyName,number_of_permits_applied_for,PlanReviewAverageDays
1959,PRO AIR CONDITIONING INC,10.0,3.9
1960,Amerigas Propane LP,10.0,385.3
1961,BLUE TREASURE POOL & SPA LLC,10.0,148.2
1962,FLOWTRON ELECTRIC,10.0,210.3
1963,GRYCON  LLC,10.0,352.0
1964,F & A ELECTRIC CONTRACTORS LLC,10.0,125.5
1965,TOSCANA CONSTRUCTION GROUP INC,10.0,284.0
1966,DRAINMASTER USA Co,10.0,260.0
1967,C R C BUILDERS GROUP INC,10.0,102.8
1968,Leonard Air Plumbing INC,10.0,246.1
1969,JM Roofing Professionals  Inc,10.0,28.7
1970,WM BUILDERS USA LLC,10.0,70.9
1971,ETEK Fire Alarms Inc.,10.0,93.5
1972,NOVA AIR CONDITIONING INC.,10.0,280.3
1973,Firecorp LLC dba Economy Fire Protection,10.0,14.7
1974,TITAN TECHNOLOGIES INTEGRATION  INC,10.0,97.4
1975,SIERRA ELECTRIC INC,10.0,64.0
1976,JJW CONSTRUCTION  INC,10.0,60.1
1977,A.P. EXPRESS AIR CONDITIONING AND REFRIGERATION INC,10.0,254.3
1978,INTEGRATED ELECTRICAL SERVICES INC,10.0,58.8
1979,BALLAST CONSTRUCTION  LLC,10.0,139.2
1980,ATLAS WINDOWS INC,10.0,56.7
1981,AZQ Electronic Systems Inc.,10.0,36.6
1982,A & H ENVIRONMENTAL CORP,10.0,171.5
1983,MOJO Plumbing & Septic Services LLC,10.0,449.0
1984,GONZALEZ PLUMBING CORP,10.0,376.3
1985,SEAN LILLY ROOFING CO INC,10.0,22.6
1986,NEW WAVE INVESTORS  LLC.,10.0,80.5
1987,MILLER SIGNS  LLC,10.0,72.8
1988,L&H Construction Services,10.0,349.2
1989,Diegon LLC,10.0,38.4
1990,PARAMOUNT PLUMBING SERVICES LLC,10.0,237.0
1991,EXCLUSIVE TRIM  INC,10.0,38.4
1992,SECURITY TECHNOLOGIES NETWORK INC,10.0,3.7
1993,ALLISON GAS PLUMBING CORP.,10.0,154.7
1994,22 CORE CONSTRUCTION  INC.,10.0,776.4
1995,AE TECH CORPORATION,10.0,73.6
1996,Caraballo Electrical Industries Inc.,10.0,224.7
1997,G & M General Service of USA INC.,10.0,8.1
1998,NV2A GROUP  LLC,10.0,127.7
1999,EVORA INVESTMENT INC,10.0,246.9
2000,ROOFTECH LLC,10.0,20.3
2001,ALL BRIGHT PLUMBING CORP,10.0,218.0
2002,ARISTONE INTERIORS INC,10.0,50.4
2003,Almendarez Roofing Corp,10.0,24.6
2004,ADVANCE AIR TECH CORP,10.0,184.8
2005,SIMPSONS HOME INC,10.0,126.2
2006,D D & D ELECTRICAL SERVICE  INC.,10.0,122.4
2007,STRYKER ELECTRICAL CONTRACTING INC.,10.0,78.9
2008,KEMPER DEVELOPMENT & DESIGN,10.0,178.9
2009,Harpers Air Inc,10.0,238.7
2010,ANANCY FIRE PROTECTION,10.0,43.9
2011,I2 VISUAL INC,10.0,110.1
2012,SOUTHEASTERN MARKETING SOLUTIONS  INC,10.0,26.9
2013,PREFAB PLUMBING  INC.,10.0,46.4
2014,EDT ELITE CONSTRUCTION L,10.0,73.8
2015,JARR PROFESSIONAL & ASSOCIATES ELECTRIC INC.,10.0,155.4
2016,Comfort Tech Air Conditioning Inc.,10.0,135.4
2017,LEADING EDGE CONTRACTOR SERVICES INC,10.0,108.2
2018,MAX ROOFING INC,10.0,44.0
2019,Climantia LLC,10.0,170.7
2020,TRIPLE A ELECTRICAL SERVICES,10.0,78.1
2021,Icon Security Systems Inc,10.0,5.1
2022,CA Lindman of South Florida LLC,10.0,60.6
2023,PRESTIGE ROOFING INC,10.0,23.2
2024,Global Security Products INC DBA PARADYME,10.0,22.5
2025,ONSITE CONSTRUCTION SOLUTIONS CORP,10.0,101.5
2026,Grand Line Group Inc.,10.0,161.9
2027,URBAN 4 DEVELOPMENT CORP,10.0,250.8
2028,Amengual Electric Inc.,10.0,17.8
2029,Cornerstone Construction Consultants,10.0,251.4
2030,ROOFS TO GO USA LLC,10.0,44.9
2031,ENERGY SMART SOLAR,10.0,32.4
2032,J CAPPELLETI INC,10.0,246.5
2033,WRANGLER CONSTRUCTION INC.,10.0,15.4
2034,ROYCE PARKING CONTROL SYSTEMS  INC.,10.0,124.8
2035,ALPHA FOUNDATION SPECIALIST INC,10.0,34.4
2036,EPJ GAS SERVICE CORP,10.0,427.9
2037,Vintage Window Corp.,10.0,36.3
2038,BLUE LIGHTING ELECTRICAL SERVICES INC,10.0,89.4
2039,RG TECH FLORIDA TEAM LLC,10.0,0.0
2040,Angel Electric Connections Inc.,10.0,33.2
2041,Stone Group Enterprises Inc,10.0,80.2
2042,WPH Construction Company,10.0,39.6
2043,PARADIGM CONSTRUCTION GROUP,10.0,58.4
2044,NOVA DESIGN BUILDERS,10.0,90.4
2045,TORRE CONSTRUCTION & DEVELOPMENT LLC,10.0,236.1
2046,E.V.G. CONSTRUCTION MGMT INC,10.0,72.0
2047,AMVO Corporation,10.0,103.1
2048,HOMETOWN BUILDERS  LLC,10.0,169.9
2049,CENTURY BUILDERS & RESTORATION INC,10.0,191.6
2050,ALL GREEN IRRIGATION SERVICES INC,9.0,286.6666666666667
2051,Total Network Consulting LLC,9.0,4.555555555555555
2052,Creara Company,9.0,130.0
2053,NAVACO INC,9.0,125.55555555555556
2054,ZARABYSON CONSTRUCTION  INC.,9.0,320.22222222222223
2055,Associated Painting Contractors,9.0,18.77777777777778
2056,GATOR DEVELOPMENT CORP.,9.0,130.66666666666666
2057,DORLOM CONSTRUCTION  INC.,9.0,285.0
2058,ATLANTIC SOUTHERN PAVING AND SEALCOATING CO,9.0,149.11111111111111
2059,GARY CONSTRUCTION LLC,9.0,93.0
2060,BUILDING & CONSULTANT CONTRACTORS,9.0,389.55555555555554
2061,XTRM CONSTRUCTION CORP,9.0,39.77777777777778
2062,.CABRERAS PLUMBING CORP,9.0,233.11111111111111
2063,La Perla Contractors  Inc,9.0,239.0
2064,Active Builders Inc.,9.0,28.444444444444443
2065,JP Electric Services Corp,9.0,219.77777777777777
2066,E PLUS ENGINEERING AND CONSTRUCTION  LLC,9.0,134.33333333333334
2067,TRON CONSTRUCTION LLC,9.0,408.3333333333333
2068,ALTON ROOFING CORP.,9.0,32.44444444444444
2069,RC Quality Tech Air Conditioning Inc,9.0,931.0
2070,DMR BUILDERS INC,9.0,63.333333333333336
2071,PLANET ROOFING CO,9.0,35.111111111111114
2072,BILANTAR CONSTRUCTIONS USA LLC,9.0,158.11111111111111
2073,Circle Security Solutions USA LLC,9.0,92.88888888888889
2074,G FORCE WATERPROOFING & RESTORATION  LLC,9.0,32.22222222222222
2075,AIG FIRE LLC,9.0,47.22222222222222
2076,SHOW MANAGEMENT INC DBA YACHTING PROMOTIONS INC,9.0,27.444444444444443
2077,Yat Enterprises Inc,9.0,220.55555555555554
2078,WISDOM ELECTRIC  INC.,9.0,248.22222222222223
2079,ALLURE PLUMBING CORP.,9.0,371.55555555555554
2080,JCL Electrical Corp,9.0,166.55555555555554
2081,Borkat Plumbing Services LLC,9.0,97.88888888888889
2082,South Florida Fabrication and Fencing Inc,9.0,73.44444444444444
2083,AGM CONTRACTORS FL  LLC,9.0,419.6666666666667
2084,AIR 1 MECHANICAL CORP,9.0,482.1111111111111
2085,TRISYSTEMS GROUP  INC.,9.0,254.33333333333334
2086,Igloo Air Conditioning Inc.,9.0,719.2222222222222
2087,XTreme Cool Service Corporation,9.0,234.0
2088,MIKES A/C SERVICE INC,9.0,183.33333333333334
2089,llanes electric corp,9.0,68.66666666666667
2090,RED BEAM CONSTRUCTION GROUP INC,9.0,125.0
2091,ROCK POWER PAVING INC,9.0,233.33333333333334
2092,Rockys Roofing Co Inc,9.0,59.44444444444444
2093,TRULINE CONSTRUCTION LLC,9.0,489.44444444444446
2094,JohnsonLaux Construction LLC,9.0,161.44444444444446
2095,A K Constructions & Designs Inc.,9.0,127.44444444444444
2096,Cardel Fire Protection Inc.,9.0,17.666666666666668
2097,BLACK DIAMOND CONSTRUCTION GROUP  LLC,9.0,294.55555555555554
2098,HALMAG SOLUTIONS INC,9.0,148.55555555555554
2099,FLEITES CONSTRUCTION GROUP INC,9.0,289.55555555555554
2100,PETE VICARI GENERAL CONTRACTOR  L.L.C.,9.0,36.44444444444444
2101,Low Voltage Systems Inc,9.0,46.666666666666664
2102,DIMENSION ONE  INC. dba DIMENSION ONE GROUP,9.0,77.44444444444444
2103,CONNECTIONS ELEVATOR LLC,9.0,13.0
2104,ARIES PLUMBING SERVICES INC,9.0,173.77777777777777
2105,ADVANCE FLORIDA CONSTRUCTION CORP,9.0,18.0
2106,SOUTH FLORIDA COASTAL ELECTRIC  INC.,9.0,99.66666666666667
2107,ORO CONSTRUCTION LLC,9.0,48.55555555555556
2108,LAZEM DEVELOPMENT CORP,9.0,40.44444444444444
2109,1 AWESOME SERVICE LLC,9.0,76.33333333333333
2110,KILOWATT ELECTRIC COMPANY,9.0,69.66666666666667
2111,CASTOR CONSTRUCTION GROUP LLC,9.0,104.11111111111111
2112,American Concrete Shell INC.,9.0,928.3333333333334
2113,BIG ORANGE SOLAR LLC,9.0,38.44444444444444
2114,Magic City Development LLC,9.0,131.66666666666666
2115,WACHTER INC,9.0,18.22222222222222
2116,PonsAir Inc.,9.0,115.88888888888889
2117,AGUILA ELECTRIC SYSTEMS CORP,9.0,326.0
2118,Garaventa USA INC,9.0,13.88888888888889
2119,NETWORK ELECTRICAL CONTRACTOR LLC,9.0,185.77777777777777
2120,PYKE MECHANICAL INC.,9.0,59.55555555555556
2121,NATIONAL AIR AND HEAT LLC,9.0,4.0
2122,Air Solutions and Repairs LLC,9.0,167.11111111111111
2123,COUNTS ELECTRIC INC,9.0,31.444444444444443
2124,Wechsler Construction Group Inc.,9.0,180.55555555555554
2125,Renuart Enterprises Inc,9.0,150.66666666666666
2126,CONSTRUCTION KING DESIGN INC,9.0,32.0
2127,MPBX  INC .,9.0,25.555555555555557
2128,CARUVA INC.,9.0,141.0
2129,RYBB FIRE ALARM INC.,9.0,25.77777777777778
2130,ALEMANS SPRINKLERS & DESIGN  INC.,9.0,50.333333333333336
2131,LUCID  BUILDERS  LLC,9.0,93.44444444444444
2132,MOWREY ELEVATOR CO.  INC,9.0,34.888888888888886
2133,FINE LINE ELECTRIC  INC,9.0,176.11111111111111
2134,Bullard Electrical,9.0,206.88888888888889
2135,UDBARDY CONSTRUCTION,9.0,189.22222222222223
2136,HUBERGRAND ELECTRICAL LLC,9.0,207.11111111111111
2137,TEIDE  CORP,9.0,414.22222222222223
2138,Teamwork Construction,9.0,162.11111111111111
2139,MTEL ONE INC,9.0,12.666666666666666
2140,MAS Construction Services Inc.,9.0,488.0
2141,SOUTH BEACH PLUMBING CONTRACTOR INC,9.0,178.44444444444446
2142,PRECISE AIR CONDITIONING AND REFRIGERATION LLC,9.0,409.44444444444446
2143,ACEXTRA INC,9.0,260.44444444444446
2144,ALL IN ONE REPAIRS LLC,9.0,184.0
2145,Signs Center,9.0,55.333333333333336
2146,AMERICAN MADE AWNING,9.0,81.33333333333333
2147,NATIONAL SHELL CONTRACTORS LLC,9.0,530.6666666666666
2148,A+ FIRE PROTECTION INC,9.0,24.0
2149,Aquarius Air Conditioning & Refrigeration Inc,9.0,120.77777777777777
2150,DION GENERATOR SOLUTIONS  INC.,9.0,74.66666666666667
2151,DANCON LLC,9.0,55.111111111111114
2152,SANTCCO SERVICES LLC,9.0,9.0
2153,STATE PLUMBING INC,9.0,732.4444444444445
2154,R R C Development Company,9.0,161.77777777777777
2155,D & L CABLING  INC,9.0,15.777777777777779
2156,KETLUN SHUTTERS CORP,9.0,23.555555555555557
2157,Miami Cool Inc.,9.0,324.3333333333333
2158,PRESTIGE GAS SERVICES CORP,9.0,342.44444444444446
2159,DROPS ROOFING CORP.,9.0,15.777777777777779
2160,TOP CHOICE RENOVATION CORP,9.0,22.11111111111111
2161,BRYANT ELECTRIC,9.0,192.44444444444446
2162,ASP ROOFING CORP,9.0,38.55555555555556
2163,S & J ROOFING OF FLORIDA INC,9.0,18.0
2164,SABINA PLUMBING CORP,9.0,197.33333333333334
2165,A & A ELEVATOR COMPANY  CORP.,9.0,14.0
2166,ELECTRICFIRE CORP,9.0,27.0
2167,PRECISION CONSTRUCTION & DESIGN SERVICES  INC,9.0,44.666666666666664
2168,PROSOLAR GROUP LLC,9.0,26.0
2169,EDDIE CONTRACTOR CORP.,9.0,127.77777777777777
2170,EC COOL AIR CONDITIONING  INC,9.0,634.8888888888889
2171,Southeast  Florida Mechanical,9.0,192.0
2172,CEI LLC,9.0,143.33333333333334
2173,AIR AT YOUR DOOR  INC.,9.0,90.22222222222223
2174,L & J Electrical Contracting LLC,9.0,40.888888888888886
2175,Power Enterprise Corp,9.0,180.11111111111111
2176,INFINITY DEVELOPERS INC,9.0,502.0
2177,SOLTEC COMMUNICATIONS LLC,9.0,6.333333333333333
2178,APRIL CONSTRUCTION  CORP,9.0,35.888888888888886
2179,Tycoon Flow Control Corp,9.0,379.3333333333333
2180,Rollan Plumbing Inc.,9.0,561.7777777777778
2181,Custom Concepts Miami Inc,9.0,71.44444444444444
2182,POWERSECURE  INC.,9.0,37.0
2183,P & H ROMING ELECTRICAL SERIVCES CORP,9.0,800.1111111111111
2184,THORNTON CONSTRUCTION COMPANY INC.,9.0,142.0
2185,Advanced Systems Inc,9.0,25.555555555555557
2186,CARIBBEAN CONSTRUCTION AND DEVELOPMENT CORPORATION,9.0,198.44444444444446
2187,JM Arce Service Inc,9.0,306.22222222222223
2188,Cerros Electric Enterprise Corp.,9.0,124.11111111111111
2189,AUDIO SYSTEMS CONSULTING  INC.,9.0,24.666666666666668
2190,GEC ASSOCIATES INC,9.0,178.88888888888889
2191,Sunlight Roofing  LLC,9.0,33.333333333333336
2192,DELAWARE ELEVATOR OF FLORIDA  INC.,9.0,7.444444444444445
2193,Modena Development Corp.,9.0,271.8888888888889
2194,THEVENIN ENTERPRISES INC,9.0,240.11111111111111
2195,ALLSTATE DIVERSIFIED ENGINEERING INC.,9.0,59.666666666666664
2196,BENSIDE CONTRACTORS GROUP LLC,9.0,16.666666666666668
2197,PREMIERE PLUMBING INC,9.0,193.22222222222223
2198,JB CONTRACTING SERVICES LLC,9.0,163.33333333333334
2199,STRATEGIC ENERGY EFFICIENCY ASSOCIATES INC,9.0,23.333333333333332
2200,Action Electric Inc,9.0,85.77777777777777
2201,A FIRE SPRINKLERS INC.,9.0,65.0
2202,Miami Remodeling & Additions Inc.,9.0,179.0
2203,TILE RENOVATION 1 LLC,9.0,32.333333333333336
2204,Met Roofing Inc.,9.0,40.22222222222222
2205,ASCENT CONSTRUCTION LLC,9.0,77.77777777777777
2206,AMIGO CONSTRUCTION SERVICES CORP,9.0,35.666666666666664
2207,GOMEZ & SON FENCE,9.0,42.0
2208,REEF TROPICAL POOLS DBA CORAL REEF TROPICAL POOLS INC,9.0,64.77777777777777
2209,RB AIR CONDITIONED INC,9.0,404.8888888888889
2210,H. Lamm Industries,9.0,232.11111111111111
2211,IDEACOM HEALTHCARE COMMUNICATIONS OF FL INC,9.0,10.333333333333334
2212,CITY COOL CORP.,9.0,397.0
2213,Cherokee Enterprises Inc.,9.0,95.66666666666667
2214,STEVENSONS ELECTRIC SERVICE,9.0,160.77777777777777
2215,BLUEPRINT AIRCONDITIONING LLC,9.0,269.22222222222223
2216,MIDTOWN CONSTRUCTION GROUP CORP,9.0,7.0
2217,Air Temp Service Inc.,9.0,380.1111111111111
2218,NON STOP AIR CONDITIONING INC,9.0,236.77777777777777
2219,ROGAR MANAGEMENT & CONSULTING OF FLORIDA  L.L.C,9.0,69.0
2220,R & C POWER SOLUTION INC,9.0,155.55555555555554
2221,DK CONSTRUCTION SERVICE LLC,9.0,215.44444444444446
2222,WEST DADE A/C INC.,9.0,617.3333333333334
2223,GMP Electric Corp.,9.0,331.3333333333333
2224,FG CONSULTING  LLC,9.0,299.6666666666667
2225,BLUE FLAME GAS PROFESSIONALS INC,9.0,243.55555555555554
2226,AC SHUTTERS AND AWNINGS INC,9.0,6.111111111111111
2227,Arpaico Inc,9.0,16.666666666666668
2228,LAG Enterprises USA LLC,9.0,244.77777777777777
2229,OROZ CONTRACTOR CORP,9.0,68.66666666666667
2230,Dominion Builders LLC,9.0,140.55555555555554
2231,RAFAEL ELECTRIC CORP,9.0,127.88888888888889
2232,Morrison Contractors Inc.,9.0,251.55555555555554
2233,OCEANSIDE CONSTRUCTION & REMODELING LLC,9.0,123.77777777777777
2234,AWNINGS BY VALROSE,9.0,82.11111111111111
2235,Security & Fire Systems Inc.,9.0,18.88888888888889
2236,THE BF GROUP,9.0,161.33333333333334
2237,Wahab Construction Co,9.0,265.6666666666667
2238,HIGH PERFORMANCE ELECTRIC CORPORATION,9.0,305.22222222222223
2239,E H WHITSON AIR CONDITIONING /PLUMBING,9.0,16.88888888888889
2240,C G A BUILDERS CORP.,9.0,4.555555555555555
2241,TRUE TREE SERVICE LLC,9.0,382.1111111111111
2242,MIAMI SECURITY SYSTEM INC.,9.0,235.11111111111111
2243,PERFECT STORMS SHUTTER INC,9.0,26.555555555555557
2244,ELEVATOR TECHNOLOGIES INC,9.0,7.111111111111111
2245,ALLIED DOORS SOUTH FLORIDA INC.,9.0,23.11111111111111
2246,EEL RENOVATIONS INC,9.0,164.44444444444446
2247,Montierre Development PLLC,9.0,67.33333333333333
2248,Climax Mechanical Corp.,8.0,356.25
2249,Volt Brothers Electric LLC,8.0,278.25
2250,P & I CARPENTRY  INC.,8.0,81.25
2251,State Contracting & Engineering Corporation,8.0,110.25
2252,ALPHATEC,8.0,134.125
2253,THALES BUILDERS CORP,8.0,391.375
2254,LAKE ERIE ROOFING AND CONSTRUCTION INC,8.0,19.25
2255,PRIMARY ELECTRICAL CONTRACTORS INC,8.0,233.0
2256,N & K ELECTRIC LLC,8.0,141.25
2257,JGR Construction Inc.,8.0,33.875
2258,GULFCOAST CONSTRUCTION MANAGEMENT CORP,8.0,272.0
2259,Advanced Security Solutions Inc,8.0,14.875
2260,Link Construction Group Inc,8.0,107.125
2261,LED SMARTER  LLC,8.0,286.875
2262,Clive G. Nelson Plumbing Inc.,8.0,466.625
2263,SILVHER CONSULTING CONTRACTING LLC,8.0,122.875
2264,PREFECT SOLUTION ROOFING LLC,8.0,15.375
2265,PDELTA CONSTRUCTION LLC,8.0,18.625
2266,Fahreinheit Services Air Conditioning & Refrigeration  Inc.,8.0,118.75
2267,VALUE PLUMBING SERVICES INC.,8.0,379.375
2268,A1 Fire Protection LLC,8.0,40.875
2269,PRECISION STAR ELECTRICAL CONTRACTORS  INC.,8.0,237.375
2270,Pac Systems Inc,8.0,4.0
2271,SOUTHEAST CREATIVE GROUP,8.0,95.375
2272,SMART AIR SYSTEMS INC,8.0,141.25
2273,PLUMBERS ENTERPRISE CORPORATION,8.0,117.625
2274,CATALYST DESIGN AND CONSTRUCTION LLC,8.0,142.375
2275,ALONSO ROOFING CORP,8.0,39.25
2276,GPE Engineering & General Contractor Corp.,8.0,227.625
2277,Alanis Air Conditioning & Heating Inc.,8.0,573.25
2278,ALEF CONSTRUCTION GROUP LLC,8.0,25.625
2279,citiquiet windows and doors,8.0,108.75
2280,K&M Electric INC.,8.0,53.875
2281,Flow Tech Air Conditioning Corp,8.0,23.5
2282,ROX ENTERPRISES  INC.,8.0,138.75
2283,MIGUEL KRISTALY LLC,8.0,160.25
2284,QORI INC DBA PERFECT AC SOLUTIONS,8.0,160.0
2285,PARABIT SYSTEMS INC.,8.0,26.5
2286,CPWR LLC DBA CAPITAL CONTRACTOR SERVICES,8.0,209.125
2287,MECHANICAL & AIR CONDITIONING SERVICES CORP,8.0,210.625
2288,FRG Development & Construction Inc.,8.0,70.625
2289,MACKLE BUILDERS  INC.,8.0,215.75
2290,Eddy Plumbing Services Inc,8.0,394.5
2291,CHIMES CONSTRUCTION COMPANY  LLC,8.0,147.75
2292,ENERGY MULTISERVICES CORP,8.0,235.0
2293,SLATE CONSULTING SERVICES INC,8.0,167.125
2294,RICKYS ELECTRICAL SYSTEMS INC.,8.0,90.0
2295,DESIGN MANAGEMENT & BUILDERS CORPORATION,8.0,201.5
2296,ALEX G PLUMBING LLC,8.0,152.0
2297,Dadi Electrical Inc.,8.0,75.125
2298,Clarks Modern Solutions Inc.,8.0,34.25
2299,ADR Electric  Inc.,8.0,94.625
2300,All in One Team LLC DBA All in One,8.0,44.5
2301,STRANGE & STRANGE CONSTRUCTION INC,8.0,30.875
2302,Power & Lighting Electrical Services INC,8.0,432.375
2303,T&G CONSTRUCTORS,8.0,138.25
2304,LEWDI ELECTRIC  INC,8.0,158.625
2305,SOUTH POINTE CONSTRUCTION & DEVELOPMENT CO,8.0,137.75
2306,Puren Homes LLC,8.0,223.125
2307,Evolution Contractors Corp,8.0,115.25
2308,Oasis Cooling Inc.,8.0,7.25
2309,TAAO Builders LLC,8.0,58.25
2310,G 3 Electric Corp,8.0,98.5
2311,Gulfstream Roofing and Urethane Inc,8.0,8.875
2312,AMERICAN A/C AND REFRIGERATION INC.,8.0,384.125
2313,Jose C Yanes Air Conditioning & Appliances  Inc,8.0,279.875
2314,BILTMORE CONSTRUCTION CO. INC.,8.0,176.25
2315,FOREVER POOLS LLC,8.0,142.0
2316,AP Power Electric Corp.,8.0,137.625
2317,WIRETECH LLC,8.0,103.375
2318,Kinetik Industrial Group LLC,8.0,128.25
2319,SOLUTION AIR CONDITIONING CORP,8.0,227.5
2320,DEVINE TOTAL CONSTRUCTION CORP,8.0,136.875
2321,JMD PLUMBING CORP,8.0,394.125
2322,Building Plans Inc.,8.0,124.75
2323,FELIPEZ ELECTRIC LLC,8.0,256.125
2324,ADONAY CONSTRUCTION INCORPORATED,8.0,50.125
2325,CASANOVA SERVICES GROUP  CORP. DBA THE CERTIFIED CONTRACTORS GROUP,8.0,81.25
2326,DESIGN PLUS CONSTRUCTION LLC,8.0,176.0
2327,CJ ELECTRICAL SERVICES INC,8.0,128.125
2328,Miami Electrical Services Inc,8.0,426.25
2329,Golden Fence Company Inc,8.0,157.875
2330,NOON CONSTRUCTION COMPANY LLC,8.0,104.25
2331,A & J CONSTRUCTION SERVICES INC,8.0,30.75
2332,H & M Builders LLC,8.0,333.875
2333,Shields Plumbing LLC,8.0,249.125
2334,Centennial Air Inc,8.0,2.0
2335,MADI CONSTRUCTION INC,8.0,92.375
2336,X MIAMI CONSTRUCTION LLC,8.0,453.875
2337,ARKI Construction Inc.,8.0,254.625
2338,MOBILE SIGN SERVICES INC,8.0,67.375
2339,United Iron Work Inc.,8.0,57.75
2340,National Concrete Preservation Inc.,8.0,53.375
2341,TRICON GROUP INC.,8.0,150.5
2342,Gencon Construction Group  LLC,8.0,391.625
2343,DRIVEWAYS BY DESIGNS  INC,8.0,145.75
2344,J & K ROOFING INC,8.0,15.25
2345,TEICON GROUP  INC.,8.0,107.75
2346,MIRCOM ENGINEERED SYSTEMS INC.,8.0,63.25
2347,CAPITAL GENERAL CONTRACTORS & DEVELOPERS INC,8.0,115.375
2348,WEATHERSHIELD AIR CONDITIONING  INC.,8.0,17.125
2349,ALC AIR CONDITIONING & REFRIRATION INC,8.0,250.625
2350,JAVIER SPRINKLERS INC,8.0,8.0
2351,RECREATIONAL DESIGN & CONSTRUCTION  INC.,8.0,134.0
2352,TRADEMARK SIGNS LLC,8.0,42.25
2353,LP Electric Corp,8.0,178.5
2354,MDiaz Corporation,8.0,98.625
2355,Now Dry Out Group LLC,8.0,92.625
2356,THE PLATINUM GROUP INC,8.0,55.75
2357,RAPID REFRIGERATION CORP,8.0,104.625
2358,E.J.J. International Inc.,8.0,22.125
2359,JAZAYRI CONSTRUCTION  INC,8.0,346.5
2360,MASTER MECHANICAL H.V.A.C. CORP,8.0,641.75
2361,RND MECHANICAL CONTRACTOR INC,8.0,385.25
2362,TURNKEY INTERNATIONAL  INC. DBA PORRO JORGE EDUARDO,8.0,215.25
2363,Americas Preferred Roofers Inc.,8.0,25.875
2364,SPECIFIC ELECTRONIC ENVIRONMENTS  LLC,8.0,191.5
2365,MP FLOORS INC,8.0,22.375
2366,PRIME AIR SERVICE CORP,8.0,498.75
2367,TREJOS ROOFING LLC,8.0,18.5
2368,TWS FABRICATORS INC.,8.0,29.25
2369,ECONETWORK CORP,8.0,438.625
2370,AVERIKA CONSULTING CORP,8.0,368.375
2371,Double AA Electrical Corp,8.0,403.125
2372,DOT CONSTRUCTION  INC.,8.0,313.5
2373,White Electric Inc,8.0,87.125
2374,GRAHAM BUILDING INSPECTIONS INC,8.0,332.25
2375,Arbor Electrical Service dba Mr. Wireman,8.0,140.75
2376,EAGLE ENTERPRISES ROOFING INC,8.0,17.5
2377,BETACOM INC,8.0,123.75
2378,Atlantic Construction US Inc.,8.0,44.0
2379,Built By Design Inc.,8.0,202.625
2380,INDUSTRIAL ELECTRICAL C F INC,8.0,130.0
2381,BUILT TO LAST ROOFING CORP,8.0,24.125
2382,ATEAM ENERGY SERVICES  INC. dba EVO AIR,8.0,90.5
2383,CITY FIRE PROTECTION  INC.,8.0,26.0
2384,Ebsary Foundation Company,8.0,392.0
2385,Ultimate Contractors Inc,8.0,88.75
2386,GRACO CONSTRUCTION GROUP  INC,8.0,214.625
2387,Marnade Services BH Co,8.0,164.25
2388,SERVICE MINDS  INC. dba MISTER SPARKY,8.0,88.875
2389,STARQUEST INC,8.0,56.75
2390,HOOVER ARCHITECTURAL,8.0,127.0
2391,Precision Mechanical & Plumbing Inc,8.0,159.0
2392,EMS Site Development LLC & EMS Rolloff Inc,8.0,154.75
2393,ARTISTIC CONTRUCTION STUDIO LLC,8.0,44.625
2394,CABLE WIRING SPECIALIST INC,8.0,2.125
2395,Adan Electrical Services LLC,8.0,56.5
2396,ALL HOUSE IN ONE INC.,8.0,13.875
2397,FRED DENICCI CONSTRUCTION LLC,8.0,213.0
2398,WEATHER GUARD INDUSTRIES INC,8.0,33.0
2399,ULTRA FENCE INC,8.0,39.875
2400,Gables Window & Door LLC,8.0,14.25
2401,SAFETY WEB  INC.,8.0,37.125
2402,FRAN BEA ELECTRICAL CONTRACTORS  INC.,8.0,37.625
2403,Acebo Roofing Corp,8.0,22.75
2404,NEXTEP ELECTRIC INC,8.0,73.75
2405,PADRON ELECTRICAL CONTRACTOR INC,8.0,155.625
2406,ARTE KITCHEN & BATH DBA/P. SIMONS ENTERPRISES  INC.,8.0,17.5
2407,INFINITY AT YOUR SERVICE LLC,8.0,241.25
2408,VERES ELECTRIC INC.,8.0,127.75
2409,CYBAL INC DBA THE COMPANY REAL ESTATE,8.0,278.625
2410,G & R Doors and Windows LLC,8.0,42.625
2411,MJ Simpson Corp,8.0,279.625
2412,JCN PLUMBING CORP,8.0,97.625
2413,Trane,8.0,22.25
2414,FORTH BUILDING  LLC,8.0,133.0
2415,MA METAL FABRICATORS INC,8.0,94.125
2416,Big Als Roofing LLC,8.0,21.0
2417,TJK ARCHITECTURAL DESIGN INC,8.0,29.0
2418,SANMAR CONSTRUCTION CORP.,8.0,154.375
2419,Forever Kool LLC,8.0,60.625
2420,GENEREVE CONSTRUCTION & REMODELING LLC,8.0,276.25
2421,RGF Fire Proctection Inc,8.0,28.125
2422,GABLES ROOFING CORP,8.0,19.25
2423,Advanced Security Innovations LLC DBA Advanced Electrical Innovations,8.0,40.875
2424,CLASSIC AIR INC,8.0,135.625
2425,HERNS UNLIMITED ELECTRICAL CONTRACTOR INC,8.0,40.125
2426,RIGHT WAY PLUMBING CO INC,8.0,104.0
2427,HITECH PLUMBING GROUP  CORP,8.0,277.0
2428,Superior Replacement Window & Door Inc.,8.0,9.625
2429,BLUE PANTHER AIR CONDITIONING CORP.,8.0,405.25
2430,PYKE SIGNS  INC.,8.0,74.125
